442 -     1 - :person_frowning:
443 -     1 - :cricket:
444 -     1 - :musical_notes:
445 -     1 - :face_with_head-bandage:
446 -     1 - :motor_scooter:
447 -     1 - :chart_increasing:
448 -     1 - :down_button:
449 -     1 - :white_flower:
450 -     1 - :fox_face:
451 -     1 - :computer_disk:
452 -     1 - :heart_with_ribbon:
453 -     1 - :camera_with_flash:
454 -     1 - :free_button:
455 -     1 - :ping_pong:
456 -     1 - :duck:
457 -     1 - :ring:
458 -     1 - :trident_emblem:
459 -     1 - :couple_with_heart:
460 -     1 - :post_office:
461 -     1 - :dollar_banknote:
462 -     1 - :japanese_dolls:
463 -     1 - :horse:
464 -     1 - :poodle:
465 -     1 - :dove:
466 -     1 - :chipmunk:
467 -     1 - :people_with_bunny_ears_partying:
468 -     1 - :automobile:
469 -     1 - :pill:
470 -     1 - :japanese_symbol_for_beginner:
471 -     1 - :pizza:
472 -     1 - :sheaf_of_rice:
473 -     1 - :victory_hand:
474 -     1 - :revolving_hearts:
475 -     1 - :peace_symbol:
476 -     1 - :running_shoe:
477 -     1 - :back_arrow:
478 -     1 - :top_arrow:
479 -     1 - :information:
480 -     1 - :part_alternation_mark:
481 -     1 - :name_badge:
482 -     1 - :grinning_cat_face_with_smiling_eyes:
483 -     1 - :roller_coaster:
484 -     1 - :keyboard:
485 -     1 - :clipboard:
486 -     1 - :game_die:
487 -     1 - :tumbler_glass:
488 -     1 - :cooking:
489 -     1 - :rabbit_face:
490 -     1 - :white_circle:
491 -     1 - :no_littering:
492 -     1 - :crossed_fingers:
493 -     1 - :speak-no-evil_monkey:
494 -     1 - :person_getting_haircut:
495 -     1 - :shopping_bags:
496 -     1 - :mobile_phone_off:
497 -     1 - :railway_track:
498 -     1 - :green_book:
499 -     1 - :passenger_ship:
500 -     1 - :ship:
501 -     1 - :soon_arrow:
502 -     1 - :person_getting_massage:
503 -     1 - :cool_button:
504 -     1 - :triangular_ruler:
505 -     1 - :tiger:
506 -     1 - :shallow_pan_of_food:
507 -     1 - :globe_showing_europe-africa:
508 -     1 - :globe_showing_asia-australia:
509 -     1 - :black_medium_square:
510 -     1 - :grinning_face:
