786 -     2 - :com2:
787 -     2 - :com3:
788 -     2 - :com4:
789 -     2 - :googlecake:
790 -     2 - :blobtired:
791 -     2 - :roasted_sweet_potato:
792 -     2 - :right_arrow:
793 -     2 - :thinking2:
794 -     2 - :tank:
795 -     2 - :15:
796 -     2 - :blobsmileopenmouth2:
797 -     2 - :no_one_under_eighteen:
798 -     2 - :swirlie:
799 -     2 - :blobflushed:
800 -     2 - :tulip:
801 -     2 - :cherry_blossom:
802 -     2 - :love_hotel:
803 -     2 - :clap:
804 -     2 - :blobupsidedown:
805 -     2 - :blobangry:
806 -     2 - :blobpats:
807 -     2 - :tiiiiilting:
808 -     2 - :spacethink:
809 -     2 - :spider_web:
810 -     2 - :world_map:
811 -     2 - :no_pedestrians:
812 -     2 - :no_entry:
813 -     2 - :dadsleeper:
814 -     2 - :bat:
815 -     2 - :cross_mark_button:
816 -     2 - :clapper_board:
817 -     2 - :blobnom:
818 -     2 - :sign_of_the_horns:
819 -     2 - :squarethink:
820 -     2 - :scatmanj2:
821 -     2 - :blobtongue:
822 -     2 - :penguin:
823 -     2 - :bc_ok:
824 -     2 - :turtle:
825 -     2 - :thesenate:
826 -     2 - :hammer_and_sickle:
827 -     2 - :ambulance:
828 -     2 - :blobsplosion:
829 -     2 - :cucumber:
830 -     2 - :speaker_high_volume:
831 -     2 - :hammer_and_sickle_red_on_transpa:
832 -     2 - :hachink:
833 -     2 - :badnicoman:
834 -     2 - :theos_vult:
835 -     2 - :blobhyperthinkbutfast:
836 -     2 - :blobunamused:
837 -     2 - :llawut:
838 -     2 - :saxophone:
839 -     2 - :police_officer:
840 -     2 - :family:
841 -     2 - :fried_shrimp:
842 -     1 - :truckw:
843 -     1 - :ryrkw:
844 -     1 - :potatow:
845 -     1 - :yeeping:
846 -     1 - :blobhearteye5:
847 -     1 - :blobsleepy:
848 -     1 - :akashrug:
849 -     1 - :rooshrug:
850 -     1 - :z1pghjiydaej:
851 -     1 - :praiseit:
852 -     1 - :owo:
853 -     1 - :zaiw:
854 -     1 - :bride_with_veil:
855 -     1 - :hibiscus:
856 -     1 - :supporting:
857 -     1 - :galaxythink:
858 -     1 - :hot_pepper:
859 -     1 - :beach_with_umbrella:
860 -     1 - :hahaa:
861 -     1 - :hahaaa:
862 -     1 - :baby_bottle:
863 -     1 - :doughnut:
864 -     1 - :steaming_bowl:
865 -     1 - :xdthankxd:
866 -     1 - :vomit:
867 -     1 - :thonkin6:
868 -     1 - :blobgravyeyes:
869 -     1 - :sealspuggoman:
870 -     1 - :blobglarepeek:
871 -     1 - :thought_balloon:
872 -     1 - :everquest2:
873 -     1 - :pogchomp:
874 -     1 - :penis:
875 -     1 - :xagfacenospace:
876 -     1 - :person_bouncing_ball:
877 -     1 - :syringe:
878 -     1 - :small_orange_diamond:
879 -     1 - :blackwot:
880 -     1 - :truckwafflehead:
881 -     1 - :potatohyes:
882 -     1 - :yeping:
883 -     1 - :roonap:
884 -     1 - :spaghetti:
885 -     1 - :06:
886 -     1 - :noose:
887 -     1 - :bkllobhearteyes:
888 -     1 - :feelsweirdman:
889 -     1 - :yang:
890 -     1 - :weiss:
891 -     1 - :ruby:
892 -     1 - :ren:
893 -     1 - :pyrrha:
894 -     1 - :nora:
895 -     1 - :blake:
896 -     1 - :jaune:
897 -     1 - :dezw:
898 -     1 - :roobooli:
899 -     1 - :rooshades:
900 -     1 - :cloud_with_snow:
901 -     1 - :butter:
902 -     1 - :red_triangle_pointed_down:
903 -     1 - :hmm:
904 -     1 - :baseball:
905 -     1 - :deltasplit:
906 -     1 - :potable_water:
907 -     1 - :pingu:
908 -     1 - :blobnotlikethis:
909 -     1 - :sgdoge:
910 -     1 - :blobtriggered:
911 -     1 - :blobangryping:
912 -     1 - :admiral6:
913 -     1 - :the_scream:
914 -     1 - :rooscared:
915 -     1 - :books:
916 -     1 - :cheer:
917 -     1 - :shield:
918 -     1 - :rooderp:
919 -     1 - :guitar:
920 -     1 - :polarbless:
921 -     1 - :lady_beetle:
922 -     1 - :thinkeyes:
923 -     1 - :large_orange_diamond:
924 -     1 - :upside_down:
925 -     1 - :themoreyouknowmeme:
926 -     1 - :top_hat:
927 -     1 - :emotename:
928 -     1 - :musical_note:
929 -     1 - :axe:
930 -     1 - :two_women_holding_hands:
931 -     1 - :princess:
932 -     1 - :person_frowning:
933 -     1 - :cricket:
