621 -     5 - :red_panda_face:
622 -     5 - :globe_showing_americas:
623 -     5 - :blue_book:
624 -     5 - :house:
625 -     5 - :raised_back_of_hand:
626 -     5 - :13:
627 -     5 - :mmmsssssymmmmm:
628 -     5 - 🙏🏿
629 -     5 - :face_with_open_mouth_&_cold_sweat:
630 -     5 - :ohyea:
631 -     5 - :50:
632 -     5 - :googleghost:
633 -     5 - :brainstorm:
634 -     5 - :nogod:
635 -     5 - :ice_cream:
636 -     5 - :astonished_face:
637 -     5 - :cow:
638 -     5 - :exclamation_mark:
639 -     5 - :blobdetective:
640 -     5 - :10:
641 -     5 - :scissors:
642 -     5 - :zaiwow:
643 -     5 - :18:
644 -     5 - :angry_face_with_horns:
645 -     5 - :money_with_wings:
646 -     5 - :07:
647 -     5 - :blobtilt:
648 -     5 - :bed:
649 -     5 - :blobsmilehappy:
650 -     5 - :closed_book:
651 -     5 - :goobriel:
652 -     5 - :palm_tree:
653 -     5 - :blobsurprised:
654 -     5 - :dadsleeper:
655 -     5 - :spider:
656 -     5 - :bloboro:
657 -     5 - :googlebee:
658 -     5 - :egg:
659 -     5 - :hachink:
660 -     5 - :llaohmy:
661 -     5 - :theos_vult:
662 -     5 - :saxophone:
663 -     5 - :handbag:
664 -     4 - :roofat:
665 -     4 - :a2kvv:
666 -     4 - :horse_face:
667 -     4 - :unicorn_face:
668 -     4 - :unimpressed:
669 -     4 - :kappapride:
670 -     4 - :smiling_face_with_horns:
671 -     4 - :end_arrow:
672 -     4 - :chancew:
673 -     4 - :blobcorn:
674 -     4 - :teacup_without_handle:
675 -     4 - :osfrog:
676 -     4 - :oncoming_bus:
677 -     4 - :drooling_face:
678 -     4 - :59:
679 -     4 - :bow_and_arrow:
680 -     4 - :01:
681 -     4 - :doughnut:
682 -     4 - :hushed_face:
683 -     4 - :nazi:
684 -     4 - 🤵🏾
685 -     4 - :person_bowing:
686 -     4 - :blobsweat:
687 -     4 - :open_hands:
688 -     4 - :blue_heart:
689 -     4 - :pensive_face:
690 -     4 - :rooblank:
691 -     4 - :blobparty:
692 -     4 - :registered:
693 -     4 - :blobawkward:
694 -     4 - :rooree:
695 -     4 - :white_medium_star:
696 -     4 - :frowning_face:
697 -     4 - :edge:
698 -     4 - :japanese_congratulations_button:
699 -     4 - :crab:
700 -     4 - :turkey:
701 -     4 - :drum:
702 -     4 - :55:
703 -     4 - :see-no-evil_monkey:
704 -     4 - :face_with_cold_sweat:
705 -     4 - :sunrise_over_mountains:
706 -     4 - :right-facing_fist:
707 -     4 - :cmhiyo:
708 -     4 - :sailboat:
709 -     4 - :zipper-mouth_face:
710 -     4 - :sun_with_face:
711 -     4 - :admission_tickets:
712 -     4 - :blue_circle:
713 -     4 - 💇🏾
714 -     4 - :new_moon_face:
715 -     4 - :blobyum:
716 -     4 - :dango:
717 -     4 - :43:
718 -     4 - :cloud_with_lightning_and_rain:
719 -     4 - :blobjoy:
720 -     4 - :wolfiriblob:
721 -     4 - :dadthinking:
722 -     4 - :bomb:
723 -     4 - :necktie:
724 -     4 - :29:
725 -     4 - 5⃣
726 -     4 - :left_speech_bubble:
727 -     4 - :spider_web:
728 -     4 - :japanese_acceptable_button:
729 -     4 - :clockwise_vertical_arrows:
730 -     4 - :anticlockwise_arrows_button:
731 -     4 - :round_pushpin:
732 -     4 - :busts_in_silhouette:
733 -     4 - :left-right_arrow:
734 -     4 - :person_lifting_weights:
735 -     4 - :cocktail_glass:
736 -     4 - :blobwhistle:
737 -     4 - :blobsleepless:
738 -     4 - :hear-no-evil_monkey:
739 -     4 - :delpudge:
740 -     4 - :butterfly:
741 -     4 - :riupride:
742 -     4 - :rat:
743 -     4 - :kyouko1:
744 -     4 - :blobthinkingbutfast:
745 -     4 - :rainblobowo:
746 -     4 - 👬🏿
747 -     4 - :riufeelsbirdman:
748 -     4 - :cat_face_with_wry_smile:
749 -     4 - :shooting_star:
750 -     4 - :fried_shrimp:
751 -     4 - :id_button:
752 -     3 - :man_dancing:
753 -     3 - :a2k:
754 -     3 - :smuglee:
755 -     3 - :wrapped_gift:
756 -     3 - :gachigasm:
757 -     3 - :krappa:
758 -     3 - :down_button:
759 -     3 - :tropical_drink:
760 -     3 - :shark:
761 -     3 - :running_shoe:
762 -     3 - :left-pointing_magnifying_glass:
763 -     3 - :sunglasses:
764 -     3 - :racing_car:
765 -     3 - :thought_balloon:
766 -     3 - :4head:
767 -     3 - :thinkinggun:
768 -     3 - :xmark:
769 -     3 - :hole:
770 -     3 - :krenngasm:
771 -     3 - :slightly_frowning_face:
772 -     3 - :mouse_face:
773 -     3 - :notlikethis:
774 -     3 - :d:
775 -     3 - :wedding:
776 -     3 - :41:
777 -     3 - :rose:
778 -     3 - :telephone_receiver:
779 -     3 - :red_circle:
780 -     3 - :purple_heart:
781 -     3 - :crystal_ball:
782 -     3 - :roobooli:
783 -     3 - :blobweary:
784 -     3 - :disappointed_face:
785 -     3 - :goat:
786 -     3 - :four_leaf_clover:
787 -     3 - :dab:
788 -     3 - :blobshh:
789 -     3 - :feelsamazingman:
790 -     3 - :post_office:
791 -     3 - :2nd_place_medal:
792 -     3 - :avocado:
793 -     3 - :confused_face:
794 -     3 - :bridge_at_night:
795 -     3 - :blobhypesquad:
796 -     3 - :hospital:
797 -     3 - :up!_button:
798 -     3 - :duck:
799 -     3 - :pingthink:
800 -     3 - :party_popper:
801 -     3 - :baby_angel:
802 -     3 - :vioh:
803 -     3 - :hammer_and_pick:
804 -     3 - :basicblobsob:
805 -     3 - :dollar_banknote:
806 -     3 - :left-facing_fist:
807 -     3 - :stuffed_flatbread:
808 -     3 - 0⃣
809 -     3 - :fast_up_button:
810 -     3 - :legacyblobaw:
811 -     3 - :blobfrown:
812 -     3 - :fierysnake:
813 -     3 - :thinkingsmirk:
814 -     3 - :kissing_face_with_closed_eyes:
815 -     3 - :owl:
816 -     3 - :tennis:
817 -     3 - :seven-thirty:
818 -     3 - :orange_book:
819 -     3 - :person_walking:
820 -     3 - :sunflower:
821 -     3 - :expressionless_face:
822 -     3 - :heavy_heart_exclamation:
823 -     3 - :voteyea:
824 -     3 - :blobdancer:
825 -     3 - :dog:
826 -     3 - :sob:
827 -     3 - :tiiiiilting:
828 -     3 - :spacethink:
829 -     3 - :tanabata_tree:
830 -     3 - :blobmoustache:
831 -     3 - :blobninja:
832 -     3 - :bat:
833 -     3 - :oil_drum:
834 -     3 - :high_voltage:
835 -     3 - :soon_arrow:
836 -     3 - 👋🏼
837 -     3 - :paw_prints:
838 -     3 - :military_medal:
839 -     3 - :googleturtle:
840 -     3 - :googlepenguin:
841 -     3 - :g:
842 -     3 - :blobbandage:
843 -     3 - :watermelon:
844 -     3 - :blobcouncil:
845 -     3 - :white_exclamation_mark:
846 -     3 - :blobhyperthinkbutfast:
847 -     3 - 👭🏿
848 -     3 - :pandastare:
849 -     3 - 🇸🇲
850 -     3 - 🇺🇲
851 -     3 - :two_hearts:
852 -     3 - :thinkdick:
853 -     2 - :rooaww:
854 -     2 - :granb:
855 -     2 - :roowut:
856 -     2 - :feelsthinkingman:
857 -     2 - :white_flag:
858 -     2 - :maple_leaf:
859 -     2 - :chequered_flag:
860 -     2 - :face_without_mouth:
861 -     2 - :sleepy_face:
862 -     2 - :hot_pepper:
863 -     2 - :chocolate_bar:
864 -     2 - :green_heart:
865 -     2 - :monkagiga:
866 -     2 - :fingerguns:
867 -     2 - :roobless:
868 -     2 - :monkapolice:
869 -     2 - :pot_of_food:
870 -     2 - :steaming_bowl:
871 -     2 - :forsene:
872 -     2 - :dotted_six-pointed_star:
873 -     2 - :bicycle:
874 -     2 - :cat:
875 -     2 - :blobpinned:
876 -     2 - :beating_heart:
877 -     2 - :writing_hand:
878 -     2 - :smh:
879 -     2 - :jojostoast:
880 -     2 - :balance_scale:
881 -     2 - :articulated_lorry:
882 -     2 - :train:
883 -     2 - :canerda:
884 -     2 - :spoon:
885 -     2 - :crocodile:
886 -     2 - :blobkissblush:
887 -     2 - :burrito:
888 -     2 - 👉🏾
889 -     2 - :heavy_multiplication_x:
890 -     2 - :books:
891 -     2 - :dotprejected:
892 -     2 - :feelsgunman:
893 -     2 - :cloud_with_snow:
894 -     2 - :votenay:
895 -     2 - :verysad:
896 -     2 - :pingu:
897 -     2 - :peanuts:
898 -     2 - :roocop:
899 -     2 - :airplane:
900 -     2 - :smuckdrafts:
901 -     2 - :cooked_rice:
902 -     2 - :tear-off_calendar:
903 -     2 - :birthday_cake:
904 -     2 - :zoidberg:
905 -     2 - :poultry_leg:
906 -     2 - :fire_engine:
907 -     2 - :rickface:
908 -     2 - :person_gesturing_ok:
909 -     2 - :tears:
910 -     2 - :23:
911 -     2 - :smiling_face:
912 -     2 - :pogchimp:
913 -     2 - :sport_utility_vehicle:
914 -     2 - :sheep:
915 -     2 - :gem_stone:
916 -     2 - :0k_hand:
917 -     2 - :shortcake:
918 -     2 - :invokelewd:
919 -     2 - :ree:
920 -     2 - :narwaldabbing:
921 -     2 - :hubthinky:
922 -     2 - :mothsad:
923 -     2 - :basicblobsweat:
924 -     2 - :o:
925 -     2 - :alarm_clock:
926 -     2 - :koncha:
927 -     2 - :upvote:
928 -     2 - :sleeping:
929 -     2 - :kissing_face:
930 -     2 - :tiger_face:
931 -     2 - :lion_face:
932 -     2 - :fraser:
933 -     2 - :blobsmile:
934 -     2 - 👍🏿
935 -     2 - :tilted:
936 -     2 - :bus:
937 -     2 - :persevering_face:
