565 -     1 - :full_moon:
566 -     1 - :newspaper:
567 -     1 - :blobnervous:
568 -     1 - :cl_button:
569 -     1 - :taxi:
570 -     1 - :disappointed_face:
571 -     1 - :bloboutage:
572 -     1 - 🏘
573 -     1 - :bell:
574 -     1 - :index_pointing_up:
575 -     1 - :dogdogw1:
576 -     1 - :dogdogw2:
577 -     1 - :dogdogw3:
578 -     1 - :dogdogw4:
579 -     1 - :dogdogq1:
580 -     1 - :dogdogq2:
581 -     1 - :dogdogq3:
582 -     1 - :dogdogq4:
583 -     1 - :pen:
584 -     1 - :hamburger:
585 -     1 - 💃🏿
586 -     1 - :four_leaf_clover:
587 -     1 - :hospital:
588 -     1 - 👏🏽
589 -     1 - 👍🏽
590 -     1 - 👴🏿
591 -     1 - :zzz:
592 -     1 - :blobfistbumpr:
593 -     1 - :kingbless:
594 -     1 - :anchor:
595 -     1 - :fierysnake:
596 -     1 - :drum:
597 -     1 - :tiiiiilting:
598 -     1 - :finkies:
599 -     1 - :ryrkface:
600 -     1 - :face_with_medical_mask:
601 -     1 - :collision:
602 -     1 - 👋🏽
603 -     1 - :hushed_face:
604 -     1 - :santa_claus:
605 -     1 - :nose:
606 -     1 - :googleredheart:
607 -     1 - :tenkeran:
608 -     1 - :rolling_on_the_floor_laughing:
609 -     1 - :broken_heart:
610 -     1 - :bat:
611 -     1 - :man:
612 -     1 - :unicorn_face:
613 -     1 - :flag_in_hole:
614 -     1 - :water_closet:
615 -     1 - :blobsmile:
616 -     1 - :tomato:
617 -     1 - :spacethink:
618 -     1 - :blobzippermouth:
619 -     1 - :dicc:
620 -     1 - 🕵🏾
621 -     1 - 👳🏿
622 -     1 - 🇸🇦
623 -     1 - :shadpac:
624 -     1 - :tweet:
625 -     1 - :blobowoevil:
626 -     1 - :riurong:
627 -     1 - :blobconfused:
628 -     1 - :pig:
629 -     1 - :rat:
630 -     1 - :mouse_face:
631 -     1 - :left_arrow_curving_right:
632 -     1 - 👨‍❤️‍👨
633 -     1 - 👩‍❤️‍👩
634 -     1 - :blob0w0:
635 -     1 - :sparkles:
636 -     1 - :gnikniht:
637 -     1 - :hot_pepper:
638 -     1 - :white_question_mark:
639 -     1 - :blobsmilehappy:
640 -     1 - :googleghost:
641 -     1 - :blobhornsangry:
642 -     1 - :steaming_bowl:
643 -     1 - :blobtilthead:
644 -     1 - :triangular_ruler:
645 -     1 - :feelspepoman:
646 -     1 - :stop_sign:
647 -     1 - :sos_button:
648 -     1 - :legacyrainblob:
649 -     1 - :shinto_shrine:
650 -     1 - :input_numbers:
651 -     1 - :laptop_computer:
652 -     1 - :skier:
653 -     1 - :registered:
654 -     1 - :two_men_holding_hands:
655 -     1 - :blobhyperthinkbutfast:
656 -     1 - :blobthinkingbutfast:
657 -     1 - :blobthinkingsmirk:
658 -     1 - :passenger_ship:
659 -     1 - :right_arrow_curving_up:
660 -     1 - :pingu:
661 -     1 - 🇮🇳
662 -     1 - :blobnomping:
663 -     1 - :keyboard:
664 -     1 - :desktop_computer:
665 -     1 - :face_with_stuck-out_tongue_&_closed_eyes:
666 -     1 - :krenngasm:
667 -     1 - :green_apple:
668 -     1 - :ear_of_corn:
669 -     1 - :avocado:
670 -     1 - #⃣
671 -     1 - :detective:
672 -     1 - :feelstastyman:
673 -     1 - :prohibited:
674 -     1 - :cloud_with_snow:
675 -     1 - :weary_cat_face:
676 -     1 - :blobscream:
677 -     1 - :postal_horn:
