467 -     1 - :pyrrha:
468 -     1 - :nora:
469 -     1 - :blake:
470 -     1 - :jaune:
471 -     1 - :dezw:
472 -     1 - :roobooli:
473 -     1 - :rooshades:
474 -     1 - :butter:
475 -     1 - :hmm:
476 -     1 - :deltasplit:
477 -     1 - :pingu:
478 -     1 - :blobnotlikethis:
479 -     1 - :sgdoge:
480 -     1 - :blobtriggered:
481 -     1 - :blobangryping:
482 -     1 - :admiral6:
483 -     1 - :the_scream:
484 -     1 - :rooscared:
485 -     1 - :cheer:
486 -     1 - :rooderp:
487 -     1 - :polarbless:
488 -     1 - :thinkeyes:
489 -     1 - :upside_down:
490 -     1 - :themoreyouknowmeme:
491 -     1 - :emotename:
492 -     1 - :axe:
493 -     1 - :goldenlul:
494 -     1 - :dansgame:
495 -     1 - :annipuke:
496 -     1 - :llapraise:
497 -     1 - :thinkhang:
498 -     1 - :crabstare:
499 -     1 - :lennyface:
500 -     1 - :feelstrashman:
501 -     1 - :xd:
502 -     1 - :pogcham:
503 -     1 - :bloblaugh:
504 -     1 - :anele:
505 -     1 - :smile:
506 -     1 - :venomote:
507 -     1 - :nice:
508 -     1 - :polarburden:
509 -     1 - :abra:
510 -     1 - :angryorb:
511 -     1 - :fluffy:
512 -     1 - :bellnomsome:
513 -     1 - :pingthink:
514 -     1 - :praise:
515 -     1 - :panda:
516 -     1 - :pandaogreface:
517 -     1 - :thonkery:
518 -     1 - :basicblobokhand:
519 -     1 - :rollsafe:
520 -     1 - :thinkthonk:
521 -     1 - :sand:
522 -     1 - :thonkig:
523 -     1 - :0w0:
524 -     1 - :420:
525 -     1 - :megathink:
526 -     1 - :basicblobtriggered:
527 -     1 - :blobwaverevers:
528 -     1 - :basicblobwave:
529 -     1 - :discordlove:
530 -     1 - :thgun:
531 -     1 - :viopls:
532 -     1 - :basicblobhug:
533 -     1 - :blobsmile:
534 -     1 - :palm:
535 -     1 - :basicblobthump:
536 -     1 - :blobbow:
537 -     1 - :tinkeng:
538 -     1 - :jebbanned:
539 -     1 - :jebanned:
540 -     1 - :feelsbanman:
541 -     1 - :legacyblobcookie:
542 -     1 - :braindead:
543 -     1 - :thinkgface:
544 -     1 - :thinkingsick:
545 -     1 - :iceburn:
546 -     1 - :feelslulman:
547 -     1 - :legacyblobheadpat:
548 -     1 - :goldlul:
549 -     1 - :thinkat:
550 -     1 - :legacyblobpraise:
551 -     1 - :legacyblobuwu:
552 -     1 - :legacyblobangry:
553 -     1 - :legacyblobseemsgood:
554 -     1 - :legacyblobunamused:
555 -     1 - :legacyblobsmileytongue:
556 -     1 - :blobsobbecauseicannolongerusethisgetmeoutpleasewahhhh:
557 -     1 - :legacyblobdrool:
558 -     1 - :okblob:
559 -     1 - :viogasm:
560 -     1 - :feelslanceamman:
561 -     1 - :thonkin1:
562 -     1 - :panda_faace:
563 -     1 - :kms:
564 -     1 - :thinkingnev:
565 -     1 - :feelspingedrage:
566 -     1 - :feelspingedmannew:
567 -     1 - :thinkingpride:
568 -     1 - :thinkingxd:
569 -     1 - :thinksuicide:
570 -     1 - :blobgrimace:
571 -     1 - :blobopenmouth:
572 -     1 - :smooch:
573 -     1 - :sqtlthinking:
574 -     1 - :rareegg:
575 -     1 - :heyguys:
576 -     1 - :blobcowboy:
577 -     1 - :gofu:
578 -     1 - :feelscornman:
579 -     1 - :feelswowman:
580 -     1 - :thunkong:
581 -     1 - :wolfiriblob:
582 -     1 - :purge:
583 -     1 - :admiralbackpack:
584 -     1 - :jakeblob:
585 -     1 - :the_vapors:
586 -     1 - :dadam:
587 -     1 - :wumpusblob:
588 -     1 - :blobfrowning:
589 -     1 - :before:
590 -     1 - :choke:
591 -     1 - :firstpick:
592 -     1 - :bearthinking:
593 -     1 - :googleredheart:
594 -     1 - :gerald:
595 -     1 - :blobsurprised:
596 -     1 - :240gpm:
597 -     1 - :dogdogq3:
598 -     1 - :dogdogq4:
599 -     1 - :thonigniegngig:
600 -     1 - :treebread:
601 -     1 - :dadpuck:
602 -     1 - :burnheal:
603 -     1 - :kotlsnooze:
604 -     1 - :blobsunglasses:
605 -     1 - :crowbahr:
606 -     1 - :wahhh:
607 -     1 - :blockhammer:
608 -     1 - :colonv:
609 -     1 - :notlikemiya:
610 -     1 - :derpnoot:
611 -     1 - :thonkingbutcool:
